Profile_Id,Profile_Name,Profile_Link,Designation
152,Ihechiluru Fortune Chinatu Anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya/publications/,False
153,Gogo Anyanwu,https://pureportal.coventry.ac.uk/en/persons/gogo-anyanwu/publications/,Academic Marking Assistant
154,Lucy Aphramor,https://pureportal.coventry.ac.uk/en/persons/lucy-aphramor/publications/,Associate Professor (Research)
155,Evangelos Symeon Apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos/publications/,False
156,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard/publications/,Assistant Professor Research
157,Abdullahi Arabo,https://pureportal.coventry.ac.uk/en/persons/abdullahi-arabo/publications/,Project Supervisor
158,Ana Carolina Araujo Lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano/publications/,False
159,Oussama Arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche/publications/,False
160,Deji Aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu/publications/,Lecturer in Mechanical Engineering
161,Cristian Ryan Argamino,https://pureportal.coventry.ac.uk/en/persons/cristian-ryan-argamino/publications/,False
162,Kiev Ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza/publications/,Assistant Professor (Academic)
163,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab/publications/,Professor in Games Science - Applied Games
164,Sara Arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch/publications/,False
165,Muhammad Arshad,https://pureportal.coventry.ac.uk/en/persons/muhammad-arshad/publications/,False
166,Vipavinee Artpradid,https://pureportal.coventry.ac.uk/en/persons/vipavinee-artpradid/publications/,Assistant Professor (Research)
167,John Arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis/publications/,Lecturer in Electronic and Electrical Engineering
168,Ken Asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare/publications/,Assistant Professor (Academic)
169,Corrin Ascott,https://pureportal.coventry.ac.uk/en/persons/corrin-ascott/publications/,Clinical Visiting Tutor
170,Folajimi Ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru/publications/,Assistant Professor (Research)
171,Craig Ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley/publications/,Deputy Head of School
172,Patricia Ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman/publications/,Associate Head of School - Recruitment and Marketing
173,Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf/publications/,DTA3 COFUND Marie Sklodowska-Curie PhD Fellowship
174,Adnan Aslam,https://pureportal.coventry.ac.uk/en/persons/adnan-aslam/publications/,Assistant Lecturer in Accounting
175,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam/publications/,Associate Head of School - Student Experience
176,Hussan Aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam/publications/,Research Assistant
177,Muhammad Aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-aslam-2/publications/,False
178,Mujahid Asmal-Lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee/publications/,Assistant Professor Academic
179,Richard Aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall/publications/,Professor of Translational Medicine
180,Rudolph Asumda,https://pureportal.coventry.ac.uk/en/persons/rudolph-asumda/publications/,Project Supervisor
181,Eylul Deran Atalay,https://pureportal.coventry.ac.uk/en/persons/eylul-deran-atalay/publications/,False
182,Christopher Atkin,https://pureportal.coventry.ac.uk/en/persons/christopher-atkin/publications/,Academic Marking Assistant NMH
183,Kay Leanne Atkin,https://pureportal.coventry.ac.uk/en/persons/kay-leanne-atkin/publications/,False
184,Samantha Atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins/publications/,Assistant Professor (Academic)
185,Nina Atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson/publications/,False
186,Shalika Atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas/publications/,False
187,Vani Aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul/publications/,Lecturer in Digital Marketing
188,Beth Auld,https://pureportal.coventry.ac.uk/en/persons/beth-auld/publications/,Academic Marking Assistant
189,Kristin Aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune/publications/,Professor of Sociology of Religion
190,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin/publications/,"Head of School - Energy, Construction and Environment"
191,Olufemi Awojobi,https://pureportal.coventry.ac.uk/en/persons/olufemi-awojobi/publications/,False
192,Mark Axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon/publications/,Lecturer in Social Work
193,Haseeb Ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz/publications/,Lecturer in Accounting
194,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi/publications/,Associate Professor (Research)
195,James Ayre,https://pureportal.coventry.ac.uk/en/persons/james-ayre/publications/,Assistant Professor (Academic)
196,Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub/publications/,Assistant Professor (Research)
197,Evronia Azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer/publications/,Assistant Professor Research
198,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei/publications/,Assistant Professor (Academic)
199,Maryam Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei/publications/,Lecturer in Project Management
200,Muhammad Azizuddin,https://pureportal.coventry.ac.uk/en/persons/muhammad-azizuddin/publications/,Lecturer in Business Strategy
201,Fahd Azzouz,https://pureportal.coventry.ac.uk/en/persons/fahd-azzouz/publications/,False
202,Gbolahan Olusegun Babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola/publications/,False
203,Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde/publications/,False
204,Stacey Babington,https://pureportal.coventry.ac.uk/en/persons/stacey-babington/publications/,Lecturer in Adult Nursing
205,Echekwumemchukwu Emmanuel Badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu/publications/,False
206,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri/publications/,Lecturer in Civil Engineering
207,Nim Bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia/publications/,Lecturer in Childhood and Youth Studies
208,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr/publications/,Lecturer in Operations and Supply Chain Management
209,Mingwen Bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai/publications/,Assistant Professor (Research)
210,Anthony Bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey/publications/,Assistant Professor Practice Education
211,Jessica Bailey,https://pureportal.coventry.ac.uk/en/persons/jessica-bailey/publications/,Assistant Lecturer
212,Narinder Bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains/publications/,Project Manager-Functional Materials
213,Adam Baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird/publications/,False
214,Stuart Baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird/publications/,"Academic Marking Assistant, Project Supervisor"
215,Ali Alperen Bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir/publications/,False
216,Laurence J Baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-j-baldwin/publications/,Assistant Professor Academic
217,Lindsay Balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour/publications/,Assistant Professor Research
218,Jane Ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball/publications/,Assistant Professor Academic
219,Kirstie Ball,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2/publications/,FBL Visiting Professor
220,Pamela Ball,https://pureportal.coventry.ac.uk/en/persons/pamela-ball/publications/,Lecturer in Social Work - Professional Practice
221,Brandon Ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard/publications/,Research Fellow
222,Sarah Ballard,https://pureportal.coventry.ac.uk/en/persons/sarah-ballard/publications/,Project Supervisor
223,Robert Henry Bamberger,https://pureportal.coventry.ac.uk/en/persons/robert-henry-bamberger/publications/,False
224,Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke/publications/,False
225,Shadi Bani Hani,https://pureportal.coventry.ac.uk/en/persons/shadi-bani-hani/publications/,Assistant Lecturer in Finance
226,Philip Andrew Banks,https://pureportal.coventry.ac.uk/en/persons/philip-andrew-banks/publications/,False
